payment_id,fraud_probability,amount,hashed_consumer_id
10080,0.77858835,13970,consumer_4204
10077,0.78453726,12880,consumer_4206
10079,0.7799799,15980,consumer_4212
10078,0.77866477,14890,consumer_4226
2929,0.5868424,7250,consumer_4250
2472,0.5267027,10255,consumer_4267
10052,0.6876431,8500,consumer_4278
7152,0.7917153,8700,consumer_4290
3372,0.7529412,7250,consumer_4322
8969,0.78540045,35000,consumer_4325
8968,0.5981105,35000,consumer_4325
8970,0.5981105,35000,consumer_4325
10055,0.77858835,10560,consumer_4353
7158,0.78602844,10800,consumer_4364
9711,0.7821205,9241,consumer_4368
2138,0.78219616,12250,consumer_4406
7159,0.7884135,11400,consumer_4410
7157,0.77866477,15800,consumer_4415
7381,0.78713506,9500,consumer_4421
10107,0.78461224,9500,consumer_4426
9715,0.78731173,10600,consumer_4428
3149,0.7799799,13960,consumer_4434
7160,0.7833172,9500,consumer_4435
9509,0.604102,8000,consumer_4441
9714,0.78219616,13000,consumer_4443
7362,0.78713506,9500,consumer_4447
9713,0.78219616,11500,consumer_4462
6990,0.5835547,10400,consumer_4489
6989,0.5854118,10400,consumer_4489
9744,0.7799799,10500,consumer_4497
9742,0.78219616,11400,consumer_4506
9743,0.7834961,13980,consumer_4512
10103,0.77393395,5800,consumer_4538
9671,0.7834961,12100,consumer_4541
10102,0.79474235,8900,consumer_4551
9670,0.7833172,11400,consumer_4558
9669,0.77866477,14960,consumer_4571
9672,0.78602844,11000,consumer_4578
9723,0.77866477,11960,consumer_4591
3915,0.77528924,7250,consumer_4598
7155,0.78324187,9500,consumer_4600
10105,0.7833172,9500,consumer_4611
2134,0.7897615,8980,consumer_4612
2135,0.7834961,9980,consumer_4623
8173,0.78713506,9500,consumer_4626
7154,0.7833172,9500,consumer_4627
2136,0.77866477,9980,consumer_4630
7156,0.78461224,9500,consumer_4640
2137,0.77866477,11500,consumer_4643
2139,0.7834961,9980,consumer_4650
8127,0.78461224,9500,consumer_4653
8128,0.7833172,9500,consumer_4658
7396,0.7897578,8900,consumer_4673
2996,0.63718784,2715,consumer_4764
11272,0.62228,138880,consumer_4795
9708,0.62708634,8980,consumer_4845
3762,0.64242035,650,consumer_4848
8139,0.6761439,8600,consumer_4864
8140,0.6752702,8800,consumer_4878
1732,0.6278606,7250,consumer_4930
3563,0.57303894,3600,consumer_4945
13030,0.57858473,2057,consumer_4949
2550,0.5981105,34720,consumer_4965
3151,0.7601762,11600,consumer_5005
3150,0.77192444,8900,consumer_5013
3152,0.7601762,10600,consumer_5016
7353,0.7394646,9500,consumer_5019
3153,0.7601762,9700,consumer_5020
3154,0.76509994,12600,consumer_5026
7379,0.76509994,9500,consumer_5028
3155,0.787391,8531,consumer_5029
3156,0.7601762,10600,consumer_5030
7351,0.76509994,9990,consumer_5032
8171,0.791909,8500,consumer_5033
3157,0.76509994,10717,consumer_5034
3158,0.7601762,10874,consumer_5040
8172,0.76509994,9880,consumer_5041
3160,0.7601762,10700,consumer_5071
2978,0.6368957,3275,consumer_5074
8138,0.65491927,9500,consumer_5082
12817,0.7341901,12200,consumer_5084
7151,0.6635371,8900,consumer_5086
9709,0.65491927,9500,consumer_5105
8170,0.76509994,9500,consumer_5126
9759,0.66183275,9100,consumer_5128
7400,0.6368957,6630,consumer_5136
8141,0.6828737,8500,consumer_5141
8169,0.6572295,9500,consumer_5145
7393,0.74143225,9800,consumer_5174
8183,0.74143225,9800,consumer_5187
3683,0.538365,3850,consumer_5190
9679,0.78219616,12600,consumer_5236
3159,0.7821205,10000,consumer_5241
7851,0.5981105,17555,consumer_5252
7852,0.5981105,17555,consumer_5252
7850,0.5981105,13500,consumer_5252
8175,0.78453726,9980,consumer_5262
9681,0.78384036,11400,consumer_5263
9682,0.7833172,13300,consumer_5269
9717,0.78453726,13000,consumer_5273
9689,0.7834961,14200,consumer_5277
8176,0.78453726,9890,consumer_5280
9721,0.77858835,12500,consumer_5285
8177,0.78453726,9980,consumer_5287
9683,0.78384036,12800,consumer_5288
9680,0.77866477,12100,consumer_5289
8178,0.78453726,9980,consumer_5291
9718,0.77858835,11400,consumer_5295
8143,0.76509994,9850,consumer_5296
9684,0.78900313,9010,consumer_5301
8144,0.76509994,9890,consumer_5303
9687,0.77866477,12700,consumer_5309
8145,0.76509994,9880,consumer_5312
9722,0.77990377,12600,consumer_5313
8179,0.78453726,9800,consumer_5320
8146,0.76509994,9890,consumer_5322
9720,0.78324187,13000,consumer_5325
9673,0.78602844,9980,consumer_5327
8142,0.76509994,9880,consumer_5328
8180,0.7833172,9700,consumer_5332
9719,0.78453726,27790,consumer_5333
9677,0.7884135,12400,consumer_5334
8181,0.78453726,9880,consumer_5336
1324,0.6086165,2500,consumer_5347
9690,0.77866477,13960,consumer_5349
8182,0.7833172,9880,consumer_5352
8174,0.7833172,10000,consumer_5358
9753,0.77858835,11960,consumer_5367
9678,0.77866477,12564,consumer_5371
9688,0.7799799,9980,consumer_5383
8239,0.5996301,4800,consumer_5386
9741,0.7799799,12800,consumer_5408
9740,0.7833172,13500,consumer_5421
2540,0.5890458,18810,consumer_5430
2542,0.5854118,18810,consumer_5430
2541,0.5835547,18810,consumer_5430
2496,0.55801904,18810,consumer_5430
7603,0.75563705,22990,consumer_5432
9675,0.77866477,11980,consumer_5467
9686,0.77866477,13800,consumer_5481
9685,0.78713506,10600,consumer_5484
9676,0.77866477,12600,consumer_5496
9674,0.78254193,13164,consumer_5497
3479,0.5267027,19000,consumer_553
3478,0.5267027,19000,consumer_553
12766,0.78713506,39863,consumer_5547
2549,0.63718784,2180,consumer_5580
12699,0.64242035,1400,consumer_5586
7377,0.6439001,7980,consumer_5695
7376,0.6198705,11960,consumer_5706
7375,0.6439001,7980,consumer_5709
7363,0.6439001,7980,consumer_5716
7369,0.62708634,8980,consumer_5720
12603,0.60334086,2990,consumer_5724
